symbol,direction,zone_type,zone_accuracy,entry_price,stop_price,tp1_price,tp2_price,rr_ratio
LUNAUSDT,LONG,DEMAND,normal,0.3238,0.3157,0.34809999999999997,0.40479999999999994,3.0
LUNAUSDT,LONG,DEMAND,normal,0.3225,0.3164,0.3408,0.38349999999999995,3.0
LUNAUSDT,LONG,DEMAND,normal,0.322,0.3176,0.33520000000000005,0.36600000000000016,3.0
LUNAUSDT,LONG,DEMAND,normal,0.3257,0.318,0.34879999999999994,0.40269999999999984,3.0
LUNAUSDT,LONG,DEMAND,normal,0.3227,0.3197,0.3317,0.3527,3.0
TRBUSDT,LONG,DEMAND,accuracy,45.97,46.11,46.39,47.370000000000005,3.0
TRBUSDT,LONG,DEMAND,normal,47.47,45.34,53.859999999999985,68.76999999999995,3.0
TRBUSDT,LONG,DEMAND,normal,47.83,45.45,54.969999999999985,71.62999999999995,3.0
TRBUSDT,LONG,DEMAND,normal,48.11,45.66,55.46000000000001,72.61000000000003,3.0
TRBUSDT,LONG,DEMAND,normal,47.43,45.83,52.230000000000004,63.430000000000014,3.0
TRBUSDT,LONG,DEMAND,normal,47.29,46.17,50.64999999999999,58.489999999999974,3.0
TRBUSDT,LONG,DEMAND,accuracy,47.26,46.49,49.569999999999986,54.95999999999996,3.0
TRBUSDT,LONG,DEMAND,normal,47.54,46.31,51.22999999999999,59.83999999999997,3.0
TRBUSDT,LONG,DEMAND,normal,47.41,46.39,50.469999999999985,57.60999999999996,3.0
TRBUSDT,LONG,DEMAND,normal,47.94,46.49,52.289999999999985,62.439999999999955,3.0
TRBUSDT,LONG,DEMAND,normal,47.76,46.59,51.26999999999998,59.459999999999944,3.0
TRBUSDT,LONG,DEMAND,accuracy,47.61,46.7,50.33999999999999,56.709999999999965,3.0
TRBUSDT,LONG,DEMAND,normal,47.18,46.81,48.28999999999999,50.879999999999974,3.0
TRBUSDT,LONG,DEMAND,normal,47.24,46.59,49.19,53.73999999999999,3.0
TRBUSDT,LONG,DEMAND,normal,47.32,46.75,49.03,53.02,3.0
TRBUSDT,LONG,DEMAND,normal,47.33,46.86,48.739999999999995,52.02999999999999,3.0
TRBUSDT,LONG,DEMAND,normal,47.49,46.69,49.890000000000015,55.490000000000045,3.0
SUSHIUSDT,LONG,DEMAND,accuracy,1.185,1.219,1.2870000000000001,1.5250000000000004,3.0
SUSHIUSDT,LONG,DEMAND,normal,1.236,1.19,1.374,1.6960000000000004,3.0
SUSHIUSDT,LONG,DEMAND,normal,1.246,1.193,1.4049999999999998,1.7759999999999994,3.0
SUSHIUSDT,LONG,DEMAND,normal,1.233,1.207,1.3110000000000002,1.4930000000000003,3.0
SUSHIUSDT,LONG,DEMAND,normal,1.227,1.213,1.2690000000000001,1.3670000000000002,3.0
SUSHIUSDT,LONG,DEMAND,normal,1.233,1.222,1.2660000000000005,1.3430000000000013,3.0
SUSHIUSDT,LONG,DEMAND,accuracy,1.236,1.222,1.278,1.3760000000000001,3.0
SUSHIUSDT,LONG,DEMAND,normal,1.233,1.221,1.2690000000000001,1.3530000000000002,3.0
SUSHIUSDT,LONG,DEMAND,normal,1.235,1.231,1.247,1.2750000000000001,3.0
SUSHIUSDT,LONG,DEMAND,normal,1.255,1.229,1.3329999999999993,1.514999999999998,3.0
SUSHIUSDT,LONG,DEMAND,normal,1.227,1.237,1.2570000000000001,1.3270000000000002,3.0
SUSHIUSDT,LONG,DEMAND,normal,1.218,1.241,1.2870000000000004,1.4480000000000013,3.0
SUSHIUSDT,LONG,DEMAND,normal,1.223,1.231,1.247,1.3030000000000002,3.0
SUSHIUSDT,LONG,DEMAND,normal,1.226,1.237,1.2590000000000003,1.3360000000000012,3.0
SUSHIUSDT,LONG,DEMAND,normal,1.225,1.237,1.2610000000000001,1.3450000000000002,3.0
SUSHIUSDT,LONG,DEMAND,normal,1.226,1.245,1.2830000000000004,1.4160000000000013,3.0
SUSHIUSDT,LONG,DEMAND,accuracy,1.23,1.258,1.314,1.5100000000000002,3.0
RUNEUSDT,LONG,DEMAND,normal,2.425,2.028,3.615999999999999,6.394999999999998,3.0
RUNEUSDT,LONG,DEMAND,normal,2.451,2.038,3.690000000000001,6.581000000000003,3.0
RUNEUSDT,LONG,DEMAND,normal,2.423,2.053,3.5330000000000004,6.123000000000001,3.0
RUNEUSDT,LONG,DEMAND,normal,2.418,2.061,3.4890000000000008,5.988000000000002,3.0
RUNEUSDT,LONG,DEMAND,normal,2.419,2.071,3.4629999999999996,5.898999999999999,3.0
RUNEUSDT,LONG,DEMAND,normal,2.426,2.085,3.4490000000000007,5.836000000000002,3.0
RUNEUSDT,LONG,DEMAND,normal,2.424,2.091,3.422999999999999,5.753999999999998,3.0
RUNEUSDT,LONG,DEMAND,normal,2.424,2.081,3.453,5.853999999999999,3.0
RUNEUSDT,LONG,DEMAND,accuracy,2.42,2.084,3.4279999999999995,5.7799999999999985,3.0
RUNEUSDT,LONG,DEMAND,normal,2.413,2.08,3.411999999999999,5.742999999999997,3.0
RUNEUSDT,LONG,DEMAND,normal,2.405,2.087,3.3589999999999987,5.5849999999999955,3.0
RUNEUSDT,LONG,DEMAND,normal,2.412,2.087,3.386999999999999,5.661999999999997,3.0
RUNEUSDT,LONG,DEMAND,normal,2.397,2.092,3.311999999999999,5.446999999999997,3.0
RUNEUSDT,LONG,DEMAND,normal,2.4,2.101,3.2969999999999997,5.389999999999999,3.0
RUNEUSDT,LONG,DEMAND,normal,2.377,2.11,3.1779999999999995,5.046999999999999,3.0
RUNEUSDT,LONG,DEMAND,normal,2.372,2.118,3.134,4.912,3.0
RUNEUSDT,LONG,DEMAND,normal,2.359,2.127,3.0550000000000006,4.679000000000002,3.0
RUNEUSDT,LONG,DEMAND,accuracy,2.344,2.141,2.9529999999999994,4.373999999999999,3.0
RUNEUSDT,LONG,DEMAND,normal,2.385,2.139,3.1229999999999998,4.845,3.0
RUNEUSDT,LONG,DEMAND,normal,2.384,2.151,3.083,4.714,3.0
RUNEUSDT,LONG,DEMAND,normal,2.381,2.16,3.0439999999999987,4.590999999999996,3.0
RUNEUSDT,LONG,DEMAND,normal,2.386,2.185,2.9890000000000003,4.396000000000001,3.0
